date,hospitalises,reanimation,deces_cumul,retours_domicile_cumul
2020-03-18,2972,771,218,816
2020-03-19,4073,1002,327,1180
2020-03-20,5226,1297,450,1587
2020-03-21,5900,1453,525,1811
2020-03-22,6954,1674,632,2117
2020-03-23,8673,2080,860,2567
2020-03-24,10163,2503,1100,3281
2020-03-25,12072,2935,1388,4085
2020-03-26,13879,3351,1696,4947
2020-03-27,15701,3758,1995,5698
2020-03-28,17580,4236,2314,6624
2020-03-29,19311,4592,2606,7131
2020-03-30,20946,5056,3024,7923
2020-03-31,22672,5496,3523,9443
2020-04-01,24543,5940,4032,10934
2020-04-02,26131,6305,4503,12427
2020-04-03,27302,6556,5091,14007
2020-04-04,28003,6723,5532,15437
2020-04-05,28747,6859,5889,16182
2020-04-06,29569,6948,6494,17249
2020-04-07,29871,7004,7091,19336
2020-04-08,30217,7019,7632,21253
2020-04-09,30608,6937,8044,23205
2020-04-10,31108,6875,8598,24931
2020-04-11,31159,6752,8943,26390
2020-04-12,31665,6714,9253,27185
2020-04-13,31952,6690,9588,27717
2020-04-14,32131,6599,10129,28804
2020-04-15,31623,6331,10643,30952
2020-04-16,31172,6139,11053,32806
2020-04-17,31061,5922,11470,34414
2020-04-18,30515,5733,11834,35977
2020-04-19,30486,5644,12061,36572
2020-04-20,30462,5584,12505,37403
2020-04-21,29984,5334,12892,39175
2020-04-22,29627,5127,13225,40651
2020-04-23,29113,4967,13536,42082
2020-04-24,28554,4785,13841,43486
2020-04-25,28119,4641,14039,44587
2020-04-26,28114,4598,14191,44896
2020-04-27,27954,4526,14486,45506
2020-04-28,27607,4392,14676,46322
2020-04-29,26736,4128,15041,48221
2020-04-30,26192,3947,15231,49469
2020-05-01,25809,3819,15350,50204
2020-05-02,25751,3770,15468,50554
2020-05-03,25739,3762,15564,50776
2020-05-04,25472,3639,15807,51363
2020-05-05,24701,3375,16041,52728
2020-05-06,23912,3095,16218,53963
2020-05-07,23139,2911,16367,55018
2020-05-08,22657,2820,16478,55773
2020-05-09,22547,2764,16554,56029
2020-05-10,22502,2728,16623,56208
2020-05-11,22219,2666,16801,56715
2020-05-12,21530,2496,16984,57776
2020-05-13,21009,2385,17082,58664
2020-05-14,20401,2256,17205,59596
2020-05-15,19801,2162,17323,60439
2020-05-16,19372,2091,17393,61057
2020-05-17,19302,2047,17447,61204
2020-05-18,18956,1958,17570,61719
2020-05-19,18409,1854,17695,62554
2020-05-20,17882,1754,17793,63345
2020-05-21,17527,1708,17851,63849
2020-05-22,17327,1664,17925,64200
2020-05-23,17122,1628,17968,64538
2020-05-24,17129,1618,18003,64608
2020-05-25,16742,1572,18093,65190
2020-05-26,16209,1519,18175,65870
2020-05-27,15627,1467,18240,66575
2020-05-28,15155,1395,18306,67182
2020-05-29,14643,1328,18367,67794
2020-05-30,14329,1293,18424,68259
2020-05-31,14271,1287,18455,68346
2020-06-01,14237,1270,18486,68431
2020-06-02,13978,1221,18570,68803
2020-06-03,13465,1179,18651,69446
2020-06-04,13054,1133,18695,69967
2020-06-05,12650,1065,18741,70494
2020-06-06,12433,1030,18772,70796
2020-06-07,12415,1024,18785,70832
2020-06-08,12269,995,18839,71052
2020-06-09,11915,926,18892,71496
2020-06-10,11632,904,18915,71822
2020-06-11,11420,875,18942,72139
2020-06-12,11079,851,18970,72562
2020-06-13,10864,843,18994,72798
2020-06-14,10836,841,19003,72849
2020-06-15,10707,818,19032,73034
2020-06-16,10490,792,19070,73325
2020-06-17,10222,744,19098,73657
2020-06-18,10080,724,19126,73877
2020-06-19,9925,699,19140,74107
2020-06-20,9792,687,19156,74302
2020-06-21,9778,687,19163,74362
2020-06-22,9648,673,19186,74602
2020-06-23,9446,654,19212,74861
2020-06-24,9254,630,19223,75117
2020-06-25,9096,623,19244,75341
2020-06-26,8841,606,19270,75639
2020-06-27,8715,594,19285,75803
2020-06-28,8727,594,19287,75833
2020-06-29,8643,591,19305,75989
2020-06-30,8491,574,19326,76264
2020-07-01,8291,554,19344,76539
2020-07-02,8103,545,19358,76792
2020-07-03,7946,533,19376,77049
2020-07-04,7863,517,19388,77160
2020-07-05,7863,521,19390,77179
2020-07-06,7806,521,19403,77308
2020-07-07,7550,511,19437,77644
2020-07-08,7254,503,19469,77985
2020-07-09,7134,486,19483,78159
2020-07-10,7020,471,19508,78377
2020-07-11,6995,470,19514,78454
2020-07-12,6991,473,19515,78486
2020-07-13,6941,467,19533,78586
2020-07-14,6907,465,19539,78670
2020-07-15,6873,457,19559,78809
2020-07-16,6754,456,19577,79025
2020-07-17,6646,452,19591,79233
2020-07-18,6614,450,19599,79322
2020-07-19,6583,448,19600,79384
2020-07-20,6547,442,19616,79530
2020-07-21,6440,430,19629,79723
2020-07-22,6324,420,19636,79946
2020-07-23,5915,411,19646,80461
2020-07-24,5678,385,19656,80804
2020-07-25,5634,368,19664,80915
2020-07-26,5640,367,19665,80947
2020-07-27,5614,374,19673,81071
2020-07-28,5510,361,19688,81300
2020-07-29,5409,356,19703,81489
2020-07-30,5334,357,19719,81656
2020-07-31,5257,347,19730,81870
2020-08-01,5177,344,19736,82016
2020-08-02,5188,345,19737,82029
2020-08-03,5157,360,19759,82155
2020-08-04,5121,364,19770,82307
2020-08-05,5107,360,19779,82449
2020-08-06,5019,366,19786,82659
2020-08-07,4970,359,19798,82825
2020-08-08,4981,366,19800,82881
2020-08-09,4992,368,19800,82886
2020-08-10,5004,372,19814,83036
2020-08-11,4971,367,19829,83226
2020-08-12,4850,355,19846,83461
2020-08-13,4824,351,19863,83651
2020-08-14,4788,344,19881,83836
2020-08-15,4817,353,19884,83880
2020-08-16,4820,353,19885,83909
2020-08-17,4885,361,19904,84053
2020-08-18,4783,357,19920,84297
2020-08-19,4781,362,19937,84440
2020-08-20,4723,368,19949,84615
2020-08-21,4720,367,19972,84802
2020-08-22,4685,368,19980,84923
2020-08-23,4683,371,19981,84946
2020-08-24,4664,387,19996,85172
2020-08-25,4578,401,20016,85494
2020-08-26,4535,373,20034,85731
2020-08-27,4517,375,20046,85954
2020-08-28,4517,381,20065,86147
2020-08-29,4512,394,20071,86268
2020-08-30,4517,396,20075,86280
2020-08-31,4564,403,20104,86439
2020-09-01,4586,418,20123,86682
2020-09-02,4614,440,20148,86933
2020-09-03,4625,458,20168,87176
2020-09-04,4653,467,20186,87417
2020-09-05,4667,476,20198,87549
2020-09-06,4697,480,20201,87578
2020-09-07,4889,531,20226,87806
2020-09-08,4942,568,20265,88196
2020-09-09,4985,593,20295,88494
2020-09-10,5077,608,20314,88712
2020-09-11,5136,628,20354,89029
2020-09-12,5176,655,20371,89201
2020-09-13,5228,662,20377,89240
2020-09-14,5479,705,20411,89477
2020-09-15,5660,752,20447,89861
2020-09-16,5800,796,20493,90305
2020-09-17,5825,793,20543,90810
2020-09-18,5800,820,20665,91544
2020-09-19,5493,827,20690,92289
2020-09-20,5356,834,20701,92552
